"Language Code","Language Name","App Name","Short Description","Full Description"
"hi-IN","Hindi","OpenKitchen: रेसिपी और कुकिंग","कदम-दर-कदम कुकिंग गाइड, ऑफलाइन रेसिपी बुक, टाइमर और पोषण जानकारी।","OpenKitchen एक स्मार्ट कुकिंग गाइड ऐप है जो स्मार्टफोन, टैबलेट और Android TV पर घर पर खाना पकाने को आसान और व्यवस्थित बनाता है।

मुख्य विशेषताएं:

1. कुक मोड (कदम-दर-कदम गाइड)
- बिना किसी रुकावट के पूरी स्क्रीन पर आसान स्टेप्स।
- बड़े और स्पष्ट अक्षर ताकि किचन काउंटर से आसानी से पढ़ा जा सके।
- खाना बनाते समय स्क्रीन चालू रखने की सुविधा।
- किसी भी स्टेप पर तुरंत सामग्री सूची देखने की सुविधा।

2. इंटीग्रेटेड किचन टाइमर
- रेसिपी स्टेप के अनुसार एक-टैप टाइमर।
- +1 मिनट और +5 मिनट त्वरित समय समायोजन।

3. सर्विंग्स कैलकुलेटर
- 1 से 20 लोगों के अनुसार सामग्री की मात्रा का स्वतः पुनः परिकलन।

4. ऑफलाइन रेसिपी संग्रह
- अपनी पसंदीदा रेसिपी सेव करें और बिना इंटरनेट कभी भी देखें।
- अपनी निजी कुकिंग नोट्स और टिप्स जोड़ें।

5. संपूर्ण पोषण विश्लेषण
- कैलोरी, प्रोटीन, कार्ब्स, फैट और फाइबर की सटीक जानकारी।

6. आसान फ़िल्टर और श्रेणियां
- नाश्ता, त्वरित भोजन, शाकाहारी, पास्ता और मिठाइयाँ।
- समय के अनुसार फ़िल्टर (15, 25, 35, 45 मिनट के भीतर)।

7. Android TV पर उपयोग के अनुकूल
- रिमोट कंट्रोल के साथ टीवी पर बड़ी स्क्रीन में देखें।

8. गोपनीयता सुरक्षा
- बिना अकाउंट लॉगिन के सुरक्षित उपयोग।

OpenKitchen के साथ हर दिन स्वादिष्ट भोजन बनाएं।"
"ar","Arabic","OpenKitchen: وصفات وطبخ","دليل طبخ خطوة بخطوة مع كتاب وصفات بدون إنترنت ومؤقتات ومعلومات غذائية.","تطبيق OpenKitchen هو رفيقك المطبخي الذكي المصمم لجعل الطهي المنزلي ممتعاً ومنظماً على الهواتف والأجهزة اللوحية وتلفزيون Android TV.

الميزات الرئيسية:

1. وضع الطهي الإرشادي
- إرشادات تفصيلية خطوة بخطوة في شاشة كاملة وبدون تشتيت.
- نصوص واضحة وخط كبير لتسهيل القراءة أثناء إعداد الطعام.
- خيار إبقاء الشاشة قيد التشغيل أثناء الطهي.
- استعراض فوري لقائمة المكونات من أي خطوة.

2. مؤقتات مطبخ مدمجة
- بدء المؤقت بلمسة واحدة لكل خطوة تحضير.
- زيادة سريعة (+1 دقيقة / +5 دقائق) وتنبيهات صوتية دقيقة.

3. تعديل الحصص التلقائي
- ضبط عدد الحصص من 1 إلى 20 شخصاً مع إعادة حساب الكميات تلقائياً.

4. كتاب وصفات يعمل بدون إنترنت
- احفظ وصفاتك المفضلة لتصفحها في أي وقت دون اتصال.
- أضف ملاحظاتك الشخصية ودرجات حرارة الفرن الخاصة بك.

5. تحليل غذائي شامل
- تتبع السعرات الحرارية والبروتين والكربوهيدرات والدهون والألياف.
- عرض القيم لكل حصة فردية أو للطبق بالكامل.

6. تصنيفات وفلاتر ذكية
- فئات متنوعة: وجبات سريعة، إفطار، نباتي، مأكولات بحرية، معكرونة، وحلويات.
- تصفية حسب وقت التحضير (أقل من 15، 25، 35، 45 دقيقة).

7. متوافق مع Android TV
- تحكم كامل بواسطة جهاز التحكم عن بُعد (D-pad).

8. حماية الخصوصية
- لا يتطلب إنشاء حساب. بياناتك وملاحظاتك محفوظة على جهازك.

استمتع بتجربة طهي استثنائية مع OpenKitchen."
"ru-RU","Russian","OpenKitchen: Рецепты и Таймер","Пошаговый кулинарный гид с офлайн-книгой рецептов, таймерами и КБЖУ.","OpenKitchen — это удобный кулинарный помощник для приготовления вкусных домашних блюд на смартфонах, планшетах и Android TV.

ОСНОВНЫЕ ВОЗМОЖНОСТИ:

1. Пошаговый Режим Готовки
- Наглядные инструкции шаг за шагом на весь экран.
- Крупный и четкий шрифт, удобный для чтения на кухне.
- Функция поддержания экрана включенным во время готовки.
- Быстрый доступ к списку ингредиентов на любом этапе.

2. Встроенные Кухонные Таймеры
- Запуск таймера в один клик для каждого шага рецепта.
- Быстрое добавление +1 мин и +5 мин с аудиоуведомлениями.

3. Умный Пересчет Порций
- Изменение числа порций от 1 до 20 с автоматическим пересчетом ингредиентов.

4. Офлайн Кулинарная Книга
- Сохраняйте любимые рецепты и открывайте их без подключения к интернету.
- Добавляйте личные заметки, секреты приправ и настройки духовки.

5. Подробная Пищевая Ценность (КБЖУ)
- Калории, белки, жиры, углеводы и клетчатка.
- Расчет на одну порцию или на все блюдо целиком.

6. Поиск и Фильтрация
- Категории: Быстрые блюда, Завтраки, Вегетарианское, Паста, Морепродукты, Десерты.
- Фильтры по времени приготовления (≤ 15, 25, 35, 45 мин).

7. Оптимизация для Android TV и Планшетов
- Удобное управление с пульта (D-pad).

8. Конфиденциальность
- Без регистрации аккаунта. Данные хранятся на вашем устройстве.

Готовьте с удовольствием вместе с OpenKitchen."
"tr-TR","Turkish","OpenKitchen: Tarifler & Pişir","Çevrimdışı tarif kitabı, pişirme zamanlayıcıları ve besin değerleri rehberi.","OpenKitchen, akıllı telefon, tablet ve Android TV'de evde yemek yapmayı kolay ve keyifli hale getiren akıllı mutfak rehberinizdir.

ÖNE ÇIKAN ÖZELLİKLER:

1. Adım Adım Pişirme Modu
- Dikkatinizi dağıtmayan tam ekran adım adım anlatım.
- Mutfak tezgahından rahatça okunan büyük yazı tipi.
- Yemek yaparken ekranın açık kalmasını sağlayan mod.
- Her adımda malzeme listesine hızlı erişim.

2. Entegre Mutfak Zamanlayıcıları
- Tarif adımlarına özel tek dokunuşla başlayan zamanlayıcılar.
- +1 dk ve +5 dk hızlı süre ekleme ve sesli uyarılar.

3. Porsiyon Ölçekleyici
- 1'den 20 porsiyona kadar malzeme miktarlarını otomatik yeniden hesaplama.

4. Çevrimdışı Tarif Kitabı
- İnternet olmadan da favori tariflerinize anında erişin.
- Kendi özel pişirme notlarınızı ve püf noktalarınızı kaydedin.

5. Ayrıntılı Besin Değerleri
- Kalori, protein, karbonhidrat, yağ ve lif analizi.
- Porsiyon başına veya tüm yemek için görüntüleme.

6. Akıllı Kategoriler ve Filtreler
- Kahvaltı, Pratik Yemekler, Vejetaryen, Vegan, Makarna, Tatlılar.
- Hazırlık süresine göre filtreleme (≤ 15, 25, 35, 45 dk).

7. Android TV Desteği
- TV kumandası yön tuşlarıyla kolay gezinme.

8. Gizlilik Önceliği
- Hesap açma zorunluluğu yok. Tüm veriler cihazınızda kalır.

OpenKitchen ile mutfakta harikalar yaratın."
"nl-NL","Dutch","OpenKitchen: Recepten & Koken","Stap-voor-stap kookgids met offline kookboek, timers en voedingswaarden.","OpenKitchen is jouw overzichtelijke culinaire hulp voor ontspannen koken op smartphones, tablets en Android TV.

BELANGRIJKSTE FUNCTIES:

1. Begeleide Kookmodus
- Duidelijke stap-voor-stap instructies op volledig scherm.
- Grote, goed leesbare letters voor in de keuken.
- Scherm blijft aan tijdens het koken.
- Direct ingrediëntenoverzicht bij elke stap.

2. Geïntegreerde Kooktimers
- 1-klik timers voor koken, bakken en sudderen.
- Snelle aanpassingen (+1 min en +5 min) met meldingen.

3. Porties Automatisch Aanpassen
- Wijzig porties van 1 tot 20 personen met directe herberekening.

4. Offline Kookboek & Notities
- Bewaar favoriete recepten zonder internetverbinding.
- Voeg persoonlijke baktips en oventemperaturen toe.

5. Voedingswaarden & Macro's
- Inzicht in calorieën, eiwitten, koolhydraten, vetten en vezels.

6. Categorieën & Filters
- Snelle maaltijden, ontbijt, vegetarisch, veganistisch, pasta en desserts.
- Filteren op bereidingstijd (≤ 15, 25, 35, 45 min).

7. Geoptimaliseerd voor Android TV
- Volledige navigatie met de afstandsbediening.

8. Privacy
- Geen account vereist. Gegevens blijven lokaal op je toestel.

Kook met gemak met OpenKitchen."
"pl-PL","Polish","OpenKitchen: Przepisy i Gotuj","Przewodnik kulinarny krok po kroku z książką offline, minutnikami i makro.","OpenKitchen to intuicyjny asystent kulinarny ułatwiający gotowanie w domu na smartfonach, tabletach i Android TV.

KLUCZOWE FUNKCJE:

1. Tryb Gotowania Krok po Kroku
- Przejrzyste instrukcje pełnoekranowe bez rozpraszaczy.
- Duża, czytelna czcionka widoczna z kuchennego blatu.
- Blokada wygaszania ekranu podczas gotowania.
- Szybki podgląd składników na każdym etapie.

2. Wbudowane Minutniki
- Minutnik uruchamiany jednym kliknięciem dla danego kroku.
- Szybkie dodawanie +1 min i +5 min z powiadomieniami dźwiękowymi.

3. Przelicznik Porcji
- Dostosuj liczbę porcji od 1 do 20 z automatycznym przeliczeniem składników.

4. Książka Kucharska Offline
- Zapisuj ulubione dania i korzystaj z nich bez dostępu do sieci.
- Dodawaj własne notatki i wskazówki kulinarne.

5. Wartości Odżywcze i Kalorie
- Kalorie, białko, węglowodany, tłuszcze i błonnik.

6. Kategorie i Filtrowanie
- Śniadania, szybkie obiady, dania wegetariańskie, makarony, desery.
- Filtry czasu przygotowania (≤ 15, 25, 35, 45 min).

7. Obsługa Android TV i Tabletów
- Wygodna nawigacja pilotem telewizyjnym.

8. Ochrona Prywatności
- Bez konieczności logowania. Notatki zapisywane są w urządzeniu.

Gotuj z przyjemnością dzięki OpenKitchen."
"id","Indonesian","OpenKitchen: Resep & Memasak","Panduan masak langkah demi langkah dengan resep offline, timer, dan info gizi.","OpenKitchen adalah panduan memasak pintar yang dirancang untuk memudahkan memasak di rumah melalui ponsel, tablet, dan Android TV.

FITUR UTAMA:

1. Mode Memasak Terpandu
- Petunjuk langkah demi langkah layar penuh tanpa gangguan.
- Teks besar yang mudah dibaca dari meja dapur.
- Layar tetap menyala saat memasak.
- Akses cepat ke daftar bahan kapan saja.

2. Pengatur Waktu Dapur Terintegrasi
- Timer satu ketukan sesuai langkah resep.
- Penambahan cepat +1m dan +5m dengan notifikasi alarm.

3. Pengubah Porsi Otomatis
- Sesuaikan porsi dari 1 hingga 20 orang secara akurat.

4. Buku Resep Offline
- Simpan resep favorit tanpa perlu koneksi internet.
- Catat tips dan bumbu rahasia pribadi Anda.

5. Informasi Nilai Gizi Lengkap
- Pantau kalori, protein, karbohidrat, lemak, dan serat.

6. Kategori & Filter Cerdas
- Sarapan, Masakan Cepat, Vegetarian, Pasta, Makanan Laut, dan Dessert.
- Filter berdasarkan waktu masak (≤ 15, 25, 35, 45 menit).

7. Mendukung Android TV
- Navigasi lancar menggunakan remote TV.

8. Privasi Aman
- Tanpa perlu daftar akun. Data tersimpan di perangkat Anda.

Masak lebih mudah dengan OpenKitchen."
"vi","Vietnamese","OpenKitchen: Công thức nấu ăn","Hướng dẫn nấu ăn từng bước với sổ tay offline, hẹn giờ và dinh dưỡng chi tiết.","OpenKitchen là ứng dụng hỗ trợ nấu ăn thông minh, giúp việc chuẩn bị bữa cơm gia đình trở nên dễ dàng và tiện lợi trên điện thoại, máy tính bảng và Android TV.

TÍNH NĂNG NỔI BẬT:

1. Chế độ Nấu ăn Từng bước
- Hướng dẫn chi tiết toàn màn hình rõ ràng.
- Phông chữ lớn, dễ dàng quan sát khi đang đứng bếp.
- Giữ màn hình luôn sáng trong suốt quá trình nấu.
- Kiểm tra danh sách nguyên liệu mọi lúc.

2. Đồng hồ Hẹn giờ Nhà bếp
- Bật hẹn giờ một chạm cho từng bước chế biến.
- Tùy chỉnh nhanh +1 phút và +5 phút cùng chuông báo.

3. Tự động Tính toán Khẩu phần
- Điều chỉnh khẩu phần từ 1 đến 20 người với lượng nguyên liệu tự động quy đổi.

4. Sổ tay Công thức Offline
- Lưu món yêu thích để mở xem mọi lúc không cần mạng.
- Ghi chú bí quyết nêm nếm và nhiệt độ lò nướng riêng.

5. Bảng Dinh dưỡng Chi tiết
- Theo dõi lượng calo, chất đạm, tinh bột, chất béo và chất xơ.

6. Tìm kiếm & Bộ lọc Thông minh
- Danh mục: Bữa sáng, Món nhanh, Món chay, Mì Ý, Hải sản, Tráng miệng.
- Lọc theo thời gian nấu (≤ 15, 25, 35, 45 phút).

7. Tối ưu cho Android TV
- Điều khiển mượt mà bằng remote TV.

8. Bảo mật Riêng tư
- Không cần tạo tài khoản. Dữ liệu lưu an toàn trên máy.

Nấu ăn ngon mỗi ngày cùng OpenKitchen."
"th","Thai","OpenKitchen: คู่มือสูตรอาหาร","คู่มือทำอาหารทีละขั้นตอน พร้อมสมุดสูตรออฟไลน์ ตัวจับเวลา และข้อมูลโภชนาการ","OpenKitchen คือผู้ช่วยทำอาหารประจำบ้านที่ออกแบบมาเพื่อการทำอาหารที่ง่ายและสะดวกสบายบนสมาร์ทโฟน แท็บเล็ต และ Android TV

คุณสมบัติเด่น:

1. โหมดทำอาหารพร้อมคำแนะนำทีละขั้นตอน
- หน้าจอคำแนะนำแบบเต็มหน้าจอ ไม่รบกวนสายตา
- ตัวหนังสือขนาดใหญ่ อ่านง่ายจากเคาน์เตอร์ครัว
- ฟังก์ชันเปิดหน้าจอค้างไว้ขณะทำอาหาร
- ตรวจสอบรายการวัตถุดิบได้ตลอดเวลา

2. ตัวจับเวลาในตัว
- เริ่มจับเวลาได้ในสัมผัสเดียวตามขั้นตอนสูตร
- ปรับเวลาด่วน +1 นาที และ +5 นาที พร้อมเสียงแจ้งเตือน

3. คำนวณสัดส่วนวัตถุดิบอัตโนมัติ
- ปรับจำนวนเสิร์ฟได้ตั้งแต่ 1 ถึง 20 คน คำนวณปริมาณให้อัตโนมัติ

4. สมุดสูตรอาหารออฟไลน์
- บันทึกสูตรโปรดไว้เปิดดูได้ทุกเมื่อโดยไม่ต้องใช้อินเทอร์เน็ต
- เพิ่มบันทึกและเคล็ดลับความอร่อยส่วนตัว

5. ข้อมูลโภชนาการครบถ้วน
- แสดงแคลอรี่ โปรตีน คาร์โบไฮเดรต ไขมัน และใยอาหาร

6. ค้นหาและตัวกรองอัจฉริยะ
- หมวดหมู่: อาหารเช้า, เมนูด่วน, มังสวิรัติ, พาสต้า, อาหารทะเล, ของหวาน
- กรองตามเวลาปรุง (≤ 15, 25, 35, 45 นาที)

7. รองรับ Android TV
- ใช้งานง่ายด้วยรีโมทคอนโทรลบนจอทีวีขนาดใหญ่

8. ความเป็นส่วนตัวสูงสุด
- ไม่ต้องลงทะเบียน ข้อมูลบันทึกไว้ในอุปกรณ์ของคุณ

ทำอาหารมื้ออร่อยอย่างมั่นใจด้วย OpenKitchen"
"sv-SE","Swedish","OpenKitchen: Recept & Mat","Steg-för-steg matlagningsguide med offline-kokbok, timers och näringsvärden.","OpenKitchen är din enkla kulinariska följeslagare för god matlagning hemma på mobiler, surfplattor och Android TV.

HUVUDFUNKTIONER:

1. Guidat Matlagningsläge
- Tydliga steg-för-steg-instruktioner i helskärm.
- Stor och lättläst text anpassad för köksbänken.
- Skärmen hålls vaken under matlagningen.
- Snabb tillgång till ingredienslistan.

2. Integrerade Kökstimers
- Starta timer med ett klick kopplat till receptsteget.
- Snabbknappar för +1 min och +5 min med ljudnotiser.

3. Automatisk Portionsberäkning
- Ändra portioner från 1 till 20 med direkt omräkning av mängder.

4. Offline-Kokbok & Anteckningar
- Spara favoritrecept för användning utan internet.
- Spara egna tips och ugnstemperaturer.

5. Detaljerade Näringsvärden
- Kalorier, protein, kolhydrater, fett och fibrer.

6. Kategorier och Filtrering
- Snabba måltider, frukost, vegetariskt, veganskt, pasta och efterrätter.
- Filtrera efter tillagningstid (≤ 15, 25, 35, 45 min).

7. Anpassad för Android TV
- Full navigering med fjärrkontroll (D-pad).

8. Trygg Integritet
- Inget konto krävs. All data sparas lokalt på enheten.

Laga godare mat med OpenKitchen."
"da-DK","Danish","OpenKitchen: Opskrifter & Mad","Trin-for-trin madlavningsguide med offline kogebog, timere og næringsberegning.","OpenKitchen er din overskuelige madlavningsassistent til nem hverdagsmad på smartphones, tablets og Android TV.

NØGLEFUNKTIONER:

1. Guidet Madlavningstilstand
- Klare trin-for-trin instruktioner på fuld skærm.
- Stor og læsevenlig skrifttype til køkkenbordet.
- Hold skærmen tændt mens du laver mad.

2. Integrerede Køkkentimere
- Start timeren med ét tryk tilpasset det aktuelle trin.
- Hurtig justering med +1 min og +5 min.

3. Automatisk Portionsjustering
- Juster fra 1 til 20 portioner med automatisk omregning.

4. Offline Kogebog & Egne Noter
- Gem yndlingsopskrifter uden krav om internet.
- Tilføj personlige noter og bagetips.

5. Næringsindhold & Kalorier
- Få overblik over kalorier, protein, kulhydrater, fedt og fibre.

6. Kategorier & Tidsfiltre
- Hurtige retter, morgenmad, vegetarisk, pasta og desserter.
- Filtrer efter tilberedningstid (≤ 15, 25, 35, 45 min).

7. Optimeret til Android TV
- Nem navigation med fjernbetjeningen.

8. Privatliv
- Ingen konto påkrævet. Dine noter gemmes på din enhed.

God madlavning med OpenKitchen."
"no-NO","Norwegian","OpenKitchen: Oppskrifter & Mat","Steg-for-steg matlagingsguide med offline kokebok, tidtakere og næringsverdi.","OpenKitchen er din enkle kulinariske følgesvenn for matlaging hjemme på telefon, nettbrett og Android TV.

HOVEDFUNKSJONER:

1. Veiledet Kokemodus
- Tydelige instruksjoner steg-for-steg i fullskjerm.
- Stor og lettlest tekst tilpasset kjøkkenbenken.
- Skjermen holdes påslått under tilberedningen.

2. Integrerte Kjøkkentimere
- Start tidtaker med ett trykk for hvert trinn.
- Hurtigjustering (+1 min / +5 min) og varsler.

3. Automatisk Porsjonsjustering
- Juster fra 1 til 20 porsjoner med direkte omregning av mengder.

4. Offline Kokebok & Egne Notater
- Lagre favorittoppskrifter for bruk uten nett.
- Legg til personlige notater og steketips.

5. Detaljert Næringsinnhold
- Kalorier, proteiner, karbohydrater, fett og fiber.

6. Smarte Kategorier og Filtre
- Raske måltider, frokost, vegetarisk, pasta og desserter.
- Filtrer på tid (≤ 15, 25, 35, 45 min).

7. Støtte for Android TV
- Enkel navigering med fjernkontroll.

8. Personvern
- Ingen registrering. Dine data lagres lokalt på enheten.

Gjør matlagingen enklere med OpenKitchen."
"fi-FI","Finnish","OpenKitchen: Reseptit & Ruoka","Vaiheittainen ruoanlaitto-opas, offline-keittokirja, ajastimet ja ravintoarvot.","OpenKitchen on selkeä ja helppokäyttöinen ruoanlaittosovellus puhelimille, tableteille ja Android TV:lle.

TÄRKEIMMÄT OMINAISUUDET:

1. Ohjattu Kokkaustila
- Selkeät vaiheittaiset ohjeet koko näytöllä.
- Suuri ja helppolukuinen teksti keittiöön.
- Näyttö pysyy päällä ruokaa laittaessasi.

2. Integroidut Keittiöajastimet
- Yhden kosketuksen ajastin työvaiheen mukaan.
- Nopeat +1 min ja +5 min lisäykset äänimerkeillä.

3. Annoskoon Muunnin
- Muuta annoskokoa 1–20 hengelle automaattisella ainesmäärien laskennalla.

4. Offline-Keittokirja & Omat Muistiinpanot
- Tallenna suosikkireseptit ilman verkkoyhteyttä.
- Lisää omia maustamis- ja paistovinkkejä.

5. Kattavat Ravintotiedot
- Kalorit, proteiinit, hiilihydraatit, rasvat ja kuitu.

6. Kategoriat & Aikasuodattimet
- Nopeat arkiruoat, aamiainen, kasvisruoka, pasta ja jälkiruoat.
- Suodata valmistusajan mukaan (≤ 15, 25, 35, 45 min).

7. Android TV -tuki
- Sujuva käyttö kaukosäätimellä.

8. Yksityisyys
- Ei käyttäjätiliä. Tiedot pysyvät laitteellasi.

Kokkaa maittavasti OpenKitchenin avulla."
"el-GR","Greek","OpenKitchen: Συνταγές Φαγητού","Οδηγός μαγειρικής βήμα προς βήμα με offline συνταγές, χρονόμετρα και διατροφή.","Το OpenKitchen είναι ο ιδανικός βοηθός μαγειρικής για εύκολη και οργανωμένη προετοιμασία φαγητού σε smartphone, tablet και Android TV.

ΚΥΡΙΑ ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ:

1. Λειτουργία Καθοδηγούμενης Μαγειρικής
- Οδηγίες βήμα-βήμα σε πλήρη οθόνη χωρίς περισπασμούς.
- Μεγάλη και ευανάγνωστη γραμματοσειρά για τον πάγκο της κουζίνας.
- Διατήρηση της οθόνης ενεργής κατά το μαγείρεμα.

2. Ενσωματωμένα Χρονόμετρα Κουζίνας
- Έναρξη χρονομέτρου με ένα άγγιγμα για κάθε στάδιο.
- Γρήγορη προσθήκη +1λ και +5λ με ηχητικές ειδοποιήσεις.

3. Αυτόματος Υπολογισμός Μερίδων
- Προσαρμογή από 1 έως 20 μερίδες με άμεσο επανυπολογισμό υλικών.

4. Βιβλίο Συνταγών Offline & Σημειώσεις
- Αποθήκευση αγαπημένων πιάτων για χρήση χωρίς internet.
- Προσθήκη προσωπικών σημειώσεων και ρυθμίσεων φούρνου.

5. Πλήρης Διατροφική Ανάλυση
- Θερμίδες, πρωτεΐνες, υδατάνθρακες, λιπαρά και φυτικές ίνες.

6. Έξυπνες Κατηγορίες & Φίλτρα
- Γρήγορα γεύματα, πρωινό, χορτοφαγικά, ζυμαρικά, γλυκά.
- Φιλτράρισμα βάσει χρόνου (≤ 15, 25, 35, 45 λεπτά).

7. Υποστήριξη Android TV
- Πλήρης πλοήγηση με το τηλεχειριστήριο.

8. Προστασία Προσωπικών Δεδομένων
- Χωρίς απαίτηση λογαριασμού. Τα δεδομένα μένουν στη συσκευή σας.

Μαγειρέψτε με άνεση με το OpenKitchen."
"cs-CZ","Czech","OpenKitchen: Recepty a Vaření","Průvodce vařením krok za krokem s offline recepty, časovači a nutričními údaji.","OpenKitchen je přehledný kulinářský průvodce navržený pro snadné a pohodlné vaření na telefonech, tabletech a Android TV.

HLAVNÍ FUNKCE:

1. Průvodce Vařením Krok za Krokem
- Přehledné instrukce na celou obrazovku bez zbytečného rozptylování.
- Velké, dobře čitelné písmo pro pohodlné čtení při vaření.
- Možnost ponechat obrazovku stále zapnutou.

2. Integrované Kuchyňské Časovače
- Spuštění časovače na jedno klepnutí pro daný krok receptu.
- Rychlé přidání +1 min a +5 min se zvukovým upozorněním.

3. Dynamický Přepočet Porcí
- Změna počtu porcí od 1 do 20 s automatickým přepočtem surovin.

4. Offline Kuchařka a Vlastní Poznámky
- Ukládání oblíbených receptů bez nutnosti připojení k internetu.
- Vkládání vlastních tipů a teplot pečení.

5. Nutriční Hodnoty a Kalorie
- Kalorie, bílkoviny, sacharidy, tuky a vláknina.

6. Kategorie a Filtrování Času
- Rychlá jídla, snídaně, vegetariánská jídla, těstoviny a dezerty.
- Filtrování podle doby přípravy (≤ 15, 25, 35, 45 min).

7. Podpora pro Android TV
- Pohodlné ovládání dálkovým ovladačem.

8. Ochrana Soukromí
- Bez nutnosti registrace. Údaje jsou uloženy pouze ve vašem zařízení.

Vařte s lehkostí s OpenKitchen."
"hu-HU","Hungarian","OpenKitchen: Receptek és Főzés","Lépésről lépésre receptkalauz offline receptekkel, időzítővel és tápértékekkel.","Az OpenKitchen egy átlátható konyhai segítőtárs, amellyel az otthoni főzés egyszerűvé válik telefonon, tableten és Android TV-n.

FŐBB FUNKCIÓK:

1. Vezetett Főzési Mód
- Teljes képernyős, lépésről lépésre követhető útmutató.
- Nagy, jól olvasható betűméret a konyhapulthoz igazítva.
- Képernyő ébrentartása főzés közben.

2. Beépített Konyhai Időzítők
- Egyérintéses időzítő az adott főzési lépéshez igazítva.
- Gyors +1 és +5 perces hozzáadás hangjelzéssel.

3. Intelligens Adagszámítás
- Adagok módosítása 1-től 20 személyig a hozzávalók automatikus újraszámításával.

4. Offline Szakácskönyv és Jegyzetek
- Kedvenc receptek mentése internetkapcsolat nélküli eléréshez.
- Egyéni fűszerezési és sütési tippek rögzítése.

5. Részletes Tápértékek
- Kalória, fehérje, szénhidrát, zsír és élelmi rostok.

6. Kategóriák és Időszűrők
- Gyors ételek, reggeli, vegetáriánus ételek, tészták, desszertek.
- Szűrés elkészítési idő szerint (≤ 15, 25, 35, 45 perc).

7. Android TV Támogatás
- Teljes navigáció a távirányító nyilaival.

8. Adatvédelem
- Fiókregisztráció nem szükséges. Adatait a készülékén tároljuk.

Főzzön örömmel az OpenKitchennel."
"ro","Romanian","OpenKitchen: Rețete și Gătit","Ghid culinar pas cu pas cu rețete offline, temporizatoare și nutriție detaliată.","OpenKitchen este asistentul tău culinar conceput pentru un gătit acasă simplu și plăcut pe telefoane, tablete și Android TV.

FUNCȚII PRINCIPALE:

1. Mod de Gătit Ghidat Pas cu Pas
- Instrucțiuni clare pe tot ecranul, fără distrageri.
- Text mare și ușor de citit de pe blatul de bucătărie.
- Ecranul rămâne activ în timpul preparării.

2. Temporizatoare de Bucătărie Integrate
- Pornire cu o singură atingere pentru fiecare etapă de gătit.
- Ajustare rapidă (+1 min / +5 min) și alerte sonore.

3. Scalare Automată a Porțiilor
- Ajustează porțiile de la 1 la 20 de persoane cu recalcularea cantităților.

4. Rețetar Offline & Notițe Personale
- Salvează rețetele favorite pentru acces fără conexiune la internet.
- Adaugă notițe cu secrete culinare și temperaturi de coacere.

5. Valori Nutriționale Complete
- Calorii, proteine, carbohidrați, grăsimi și fibre.

6. Categorii și Filtre după Timp
- Mese rapide, mic dejun, vegetarian, paste și deserturi.
- Filtrare după timpul de preparare (≤ 15, 25, 35, 45 min).

7. Optimizat pentru Android TV
- Navigare facilă cu telecomanda televizorului.

8. Confidențialitate
- Fără cont obligatoriu. Datele rămân pe dispozitivul tău.

Gătește cu drag alături de OpenKitchen."
"uk","Ukrainian","OpenKitchen: Рецепти та Таймер","Покроковий кулінарний гід з офлайн-книгою рецептів, таймерами та калорійністю.","OpenKitchen — це зрозумілий та надійний кулінарний помічник для приготування смачних страв на смартфонах, планшетах та Android TV.

ГОЛОВНІ ОСОБЛИВОСТІ:

1. Покроковий Режим Кулінарії
- Наочні покрокові інструкції на весь екран без зайвих деталей.
- Великий та чіткий шрифт, зручний для читання на кухні.
- Екран залишається увімкненим під час приготування.

2. Вбудовані Кухонні Таймери
- Запуск таймера в один дотик для кожного кроку рецепта.
- Швидке додавання +1 хв та +5 хв зі звуковим сигналом.

3. Автоматичний Перерахунок Порцій
- Зміна кількості порцій від 1 до 20 з точним перерахунком інгредієнтів.

4. Офлайн-Книга Рецептів та Власні Нотатки
- Зберігайте улюблені рецепти для доступу без інтернету.
- Записуйте власні кулінарні секрети та поради щодо випікання.

5. Харчова Цінність (КБЖВ)
- Калорії, білки, жири, вуглеводи та клітковина.

6. Категорії та Зручні Фільтри
- Швидкі страви, сніданки, вегетаріанське, паста, десерти.
- Фільтри за часом приготування (≤ 15, 25, 35, 45 хв).

7. Оптимізовано для Android TV
- Зручне керування пультом телевізора.

8. Конфіденційність
- Без реєстрації облікового запису. Ваші нотатки зберігаються на пристрої.

Готуйте із задоволенням разом з OpenKitchen."
